Id,Name,Department,Course Code,Year Level,Total Classes,Attended Classes,Absent Classes,Late Classes,Attendance Rate,Risk Level,Status,Student Number
"4330","Abel Padilla","College of Business & Accountancy","ABA1","FIRST_YEAR","20","12","3","3","60","HIGH","ACTIVE","2025-04330"
"5489","Abel Ortega","College of Business & Accountancy","BSBA-MAN9","THIRD_YEAR","20","18","0","0","90","NONE","ACTIVE","2025-05489"
"10177","Abel Mendoza","College of Teacher Education","BSEd-MAN2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10177"
"9495","Abel Espinoza","College of Business & Accountancy","BSBA-BE2","FOURTH_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-09495"
"11621","Abel Ramos","International School of Hospitality & Tourism Management","BSTM2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11621"
"2383","Abel Ramirez","College of Teacher Education","BSEd-MAN","SECOND_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-02383"
"9087","Abel Soto","College of Business & Accountancy","BSBA-MAN12","SECOND_YEAR","20","16","2","2","80","MEDIUM","ACTIVE","2025-09087"
"9981","Abel Torres","College of Teacher Education","BECEd2","FOURTH_YEAR","20","16","2","2","80","MEDIUM","ACTIVE","2025-09981"
"11552","Abel Salazar","International School of Hospitality & Tourism Management","BSHM2","FOURTH_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-11552"
"8318","Abel Santos","College of Business & Accountancy","BSAIS2","FOURTH_YEAR","20","19","0","0","95","NONE","ACTIVE","2025-08318"
"4428","Abel Padilla","College of Business & Accountancy","BSAIS1","FOURTH_YEAR","20","17","0","3","85","LOW","ACTIVE","2025-04428"
"3376","Abel Velazquez","College of Criminology & Administration","BSPA","FOURTH_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-03376"
"4091","Abel Maldonado","College of Arts & Sciences","ABEng1","THIRD_YEAR","20","16","2","0","80","MEDIUM","ACTIVE","2025-04091"
"2788","Abel Mendoza","College of Teacher Education","BSEd-SCI","SECOND_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-02788"
"8298","Abel Alvarado","College of Business & Accountancy","ABA2","FIRST_YEAR","20","14","1","5","70","HIGH","ACTIVE","2025-08298"
"8712","Abel Ramirez","College of Business & Accountancy","BSIA2","FOURTH_YEAR","20","18","0","2","90","NONE","ACTIVE","2025-08712"
"9481","Abel Vega","College of Business & Accountancy","BSBA-BE2","FOURTH_YEAR","20","19","1","0","95","NONE","ACTIVE","2025-09481"
"9796","Abel Castillo","College of Computer Studies","BSIT2","SECOND_YEAR","20","16","1","3","80","MEDIUM","ACTIVE","2025-09796"
"10911","Abel Salazar","College of Criminology & Administration","BSC2","SECOND_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10911"
"10928","Abel Guerrero","College of Criminology & Administration","BSC2","FIRST_YEAR","0","0","0","0","0","NONE","ACTIVE","2025-10928"
"2271","Abel Salazar","College of Teacher Education","BEEd-EC","SECOND_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-02271"
"5592","Abel Espinoza","College of Business & Accountancy","BSBA-BE1","THIRD_YEAR","20","17","2","1","85","LOW","ACTIVE","2025-05592"
"1150","Abel Contreras","College of Business & Accountancy","BSBA-MAN1","FOURTH_YEAR","20","15","2","3","75","MEDIUM","ACTIVE","2025-01150"
"192","Abel Herrera","College of Arts & Sciences","ABEng","THIRD_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-00192"
"4073","Abel Lopez","College of Arts & Sciences","ABEng1","FOURTH_YEAR","20","19","0","1","95","NONE","ACTIVE","2025-04073"
"3266","Abel Vega","College of Criminology & Administration","BSISM","FOURTH_YEAR","20","14","3","3","70","HIGH","ACTIVE","2025-03266"
"6929","Abel Rivera","College of Maritime Education & Training","BSMT1","FIRST_YEAR","20","18","0","1","90","NONE","ACTIVE","2025-06929"
"3261","Abel Diaz","College of Criminology & Administration","BSISM","SECOND_YEAR","20","15","2","2","75","MEDIUM","ACTIVE","2025-03261"
"1603","Abel Aguilar","College of Business & Accountancy","BSBA-BE","THIRD_YEAR","20","17","1","2","85","LOW","ACTIVE","2025-01603"
"6233","Abel Galvan","College of Teacher Education","BSEd-MAN1","SECOND_YEAR","20","14","5","1","70","HIGH","ACTIVE","2025-06233"
